Source: dtm
X;Y;Z;M
272177.46486493386;7038180.8266074015;99.772125244;2038.6112536388434
272172.4832872903;7038180.397790213;99.572669983;2043.6152302975443
272167.5017096467;7038179.968973025;99.407432556;2048.6179598932295
272162.5201320032;7038179.540155835;99.403488159;2053.617961449104
272157.53855435963;7038179.111338647;99.426025391;2058.6180122414967
272152.55697671603;7038178.682521459;99.064193726;2063.6310873610273
272147.5753990725;7038178.25370427;98.975234985;2068.6318786641395
272142.59382142895;7038177.824887082;99.107170105;2073.6336190488028
272137.6122437854;7038177.396069894;99.088470459;2078.6336540163247
272132.6306661418;7038176.967252704;99.304138184;2083.6383031117825
272127.64908849826;7038176.538435516;99.160995483;2088.6403516753744
272122.6675108547;7038176.109618328;99.088279724;2093.6408804055477
272117.6859332111;7038175.680801139;99.065338135;2098.6409330369474
272112.7043555676;7038175.251983951;98.955322266;2103.6421432395996
272107.72277792403;7038174.8231667625;98.91645813;2108.6422942793934
272102.74120028043;7038174.394349573;98.944107056;2113.642370725226
272097.7596226369;7038173.965532385;98.781776428;2118.645005154451
272092.77804499335;7038173.536715196;98.559020996;2123.6499646929656
272087.7964673498;7038173.107898008;99.080673218;2128.6771031474345
272082.8148897062;7038172.67908082;99.376121521;2133.6858245112167
272077.83331206266;7038172.25026363;99.318778992;2138.6861533170168
272072.8517344191;7038171.821446442;99.175415039;2143.6882082170255
272067.8701567755;7038171.392629254;99.060569763;2148.6895269868783
272062.888579132;7038170.963812065;96.324188232;2154.3893325873246
272057.90700148843;7038170.534994877;93.486488342;2160.138466493
272052.92542384483;7038170.106177689;92.449401855;2165.24488876126
272047.9438462013;7038169.677360499;92.150390625;2170.2538215533973
272042.96226855775;7038169.248543311;92.332290649;2175.257129221172
272037.9806909142;7038168.819726123;92.368629456;2180.2572612702857
272032.9991132706;7038168.390908934;92.324447632;2185.257456469859
272028.01753562706;7038167.962091746;92.592636108;2190.2646438099073
272023.0359579835;7038167.5332745565;92.273155212;2195.2748402175735
272018.0543803399;7038167.104457368;92.319389343;2200.2750539725175
272013.0728026964;7038166.67564018;92.449127197;2205.276736880344
272008.09122505283;7038166.246822991;92.801017761;2210.289104281953
272003.10964740923;7038165.818005803;93.63053894;2215.357447737824
271998.1280697657;7038165.389188615;94.547973633;2220.440919623809
271993.14649212215;7038164.960371425;95.849815369;2225.607619915685
271988.16491447855;7038164.531554237;97.308166504;2230.8159582335384
271983.183336835;7038164.102737049;98.18888855;2235.89293285648
271978.20175919146;7038163.67391986;98.312919617;2240.894470990421
271973.2201815479;7038163.245102672;98.353645325;2245.8946368459674
271968.2386039043;7038162.816285484;98.353103638;2250.894636875336
271963.2570262608;7038162.387468294;98.266571045;2255.895385608289
271958.27544861723;7038161.958651106;98.180709839;2260.8961227685863
271953.29387097363;7038161.5298339175;98.115730286;2265.8965449850166
271948.3122933301;7038161.101016729;98.119552612;2270.896546446002
271943.33071568655;7038160.672199541;98.687767029;2275.9287296325892
271938.34913804295;7038160.2433823515;98.551399231;2280.930588904639
271933.3675603994;7038159.814565163;98.357818604;2285.9343348473135
271928.38598275586;7038159.385747975;98.139038086;2290.9391190499277
271923.4044051123;7038158.956930786;97.943458557;2295.942942723065
271918.4228274687;7038158.528113598;97.976425171;2300.9430514016735
271913.4412498252;7038158.09929641;97.773254395;2305.9471775355655
271908.45967218163;7038157.67047922;97.567085266;2310.951426301388
271903.47809453803;7038157.241662032;97.33190918;2315.956954024984
271898.4965168945;7038156.812844844;97.636703491;2320.9662353678214
